date,irs
2016/3/31,1.8904
2016/4/30,2.1838
2016/5/31,2.1359
2016/6/30,2.1842
2016/7/31,2.1031
2016/8/31,1.9807
2016/9/30,1.9775
2016/10/31,2.0111
2016/11/30,2.1092
2016/12/31,2.6474
2017/1/31,2.5218
2017/2/28,2.5344
2017/3/31,2.8771
2017/4/30,2.9443
2017/5/31,3.2738
2017/6/30,3.3317
2017/7/31,2.9996
2017/8/31,2.9015
2017/9/30,3.0888
2017/10/31,3.24
